Zip,CC,County,City,State
32003,12019,Clay County,FLEMING ISLAND,FL
32004,12109,St. Johns County,PONTE VEDRA BEACH,FL
32006,12019,Clay County,FLEMING ISLAND,FL
32007,12107,Putnam County,BOSTWICK,FL
32008,12121,Suwannee County,BRANFORD,FL
32008,12067,Lafayette County,BRANFORD,FL
32008,12029,Dixie County,BRANFORD,FL
32008,12041,Gilchrist County,BRANFORD,FL
32009,12089,Nassau County,BRYCEVILLE,FL
32011,12089,Nassau County,CALLAHAN,FL
32013,12067,Lafayette County,DAY,FL
32024,12121,Suwannee County,LAKE CITY,FL
32024,12023,Columbia County,LAKE CITY,FL
32025,12023,Columbia County,LAKE CITY,FL
32033,12109,St. Johns County,ELKTON,FL
32034,12089,Nassau County,FERNANDINA BEACH,FL
32035,12089,Nassau County,FERNANDINA BEACH,FL
32038,12023,Columbia County,FORT WHITE,FL
32038,12121,Suwannee County,FORT WHITE,FL
32040,12003,Baker County,GLEN SAINT MARY,FL
32041,12089,Nassau County,YULEE,FL
32042,12007,Bradford County,GRAHAM,FL
32043,12107,Putnam County,GREEN COVE SPRINGS,FL
32043,12019,Clay County,GREEN COVE SPRINGS,FL
32044,12001,Alachua County,HAMPTON,FL
32044,12007,Bradford County,HAMPTON,FL
32046,12089,Nassau County,HILLIARD,FL
32050,12019,Clay County,MIDDLEBURG,FL
32052,12047,Hamilton County,JASPER,FL
32053,12047,Hamilton County,JENNINGS,FL
32054,12125,Union County,LAKE BUTLER,FL
32054,12007,Bradford County,LAKE BUTLER,FL
32055,12023,Columbia County,LAKE CITY,FL
32055,12121,Suwannee County,LAKE CITY,FL
32056,12023,Columbia County,LAKE CITY,FL
32058,12007,Bradford County,LAWTEY,FL
32058,12125,Union County,LAWTEY,FL
32058,12019,Clay County,LAWTEY,FL
32059,12079,Madison County,LEE,FL
32060,12121,Suwannee County,LIVE OAK,FL
32061,12023,Columbia County,LULU,FL
32062,12121,Suwannee County,MC ALPIN,FL
32063,12003,Baker County,MACCLENNY,FL
32064,12121,Suwannee County,LIVE OAK,FL
32065,12019,Clay County,ORANGE PARK,FL
32066,12067,Lafayette County,MAYO,FL
32066,12079,Madison County,MAYO,FL
32067,12019,Clay County,ORANGE PARK,FL
32068,12019,Clay County,MIDDLEBURG,FL
32071,12121,Suwannee County,O BRIEN,FL
32073,12019,Clay County,ORANGE PARK,FL
32079,12019,Clay County,PENNEY FARMS,FL
32080,12109,St. Johns County,SAINT AUGUSTINE,FL
32080,12035,Flagler County,SAINT AUGUSTINE,FL
32081,12109,St. Johns County,PONTE VEDRA,FL
32081,12031,Duval County,PONTE VEDRA,FL
32082,12031,Duval County,PONTE VEDRA BEACH,FL
32082,12109,St. Johns County,PONTE VEDRA BEACH,FL
32083,12125,Union County,RAIFORD,FL
32083,12007,Bradford County,RAIFORD,FL
32084,12109,St. Johns County,SAINT AUGUSTINE,FL
32085,12109,St. Johns County,SAINT AUGUSTINE,FL
32086,12035,Flagler County,SAINT AUGUSTINE,FL
32086,12109,St. Johns County,SAINT AUGUSTINE,FL
32087,12003,Baker County,SANDERSON,FL
32091,12019,Clay County,STARKE,FL
